customer_id,Recency,Frequency,Monetary,Customer_Segment
1,41,3,30644.78,At Risk
2,264,3,21652.87,At Risk
3,69,3,26248.66,At Risk
4,255,3,24197.81,At Risk
5,256,3,19442.01,At Risk
6,114,3,35856.83,At Risk
7,195,3,7707.64,Loyal
8,261,3,2603.58,New
9,246,3,26678.97,At Risk
10,128,3,37800.42,At Risk
11,247,3,4079.49,New
12,250,3,27157.21,At Risk
13,261,3,15830.32,At Risk
14,251,3,17307.1,At Risk
15,126,3,11392.189999999999,At Risk
16,264,3,34502.7,At Risk
17,256,3,5927.17,Loyal
18,259,3,17305.62,At Risk
19,259,3,18222.87,At Risk
20,261,3,12474.199999999999,At Risk
21,245,3,18298.23,At Risk
22,265,2,18099.34,At Risk
23,272,2,5139.71,Loyal
24,250,3,15454.83,At Risk
25,264,2,16419.13,At Risk
26,262,2,11035.05,At Risk
27,272,2,11509.400000000001,At Risk
28,260,2,22230.760000000002,At Risk
29,251,2,13599.52,At Risk
30,255,3,11676.92,At Risk
31,267,3,21928.059999999998,At Risk
32,263,3,19575.27,At Risk
33,171,3,20949.0,At Risk
34,259,2,12816.4,At Risk
35,271,2,24779.129999999997,At Risk
36,258,2,6399.79,Loyal
37,261,2,17155.760000000002,At Risk
38,261,2,23397.44,At Risk
39,256,2,19143.44,At Risk
40,246,3,18767.86,At Risk
41,269,2,4413.35,Loyal
42,253,2,10138.3,At Risk
43,244,3,25381.62,At Risk
44,248,2,2569.31,New
45,245,2,3912.44,New
46,252,3,9589.41,At Risk
47,262,3,19538.6,At Risk
48,250,2,13459.23,At Risk
49,244,2,1963.57,New
50,261,3,17848.29,At Risk
51,271,2,8368.35,At Risk
52,267,2,6931.45,Loyal
53,170,3,16137.68,At Risk
54,251,2,18567.4,At Risk
55,243,2,4673.34,Loyal
56,245,3,7179.6,Loyal
57,253,2,8238.99,At Risk
58,257,2,24685.44,At Risk
59,261,2,15419.1,At Risk
60,252,2,11149.28,At Risk
61,263,3,29660.54,At Risk
62,272,2,4568.320000000001,Loyal
63,254,2,21941.05,At Risk
64,269,3,9490.880000000001,At Risk
65,253,2,11978.53,At Risk
66,262,3,25940.02,At Risk
67,256,2,1609.72,New
68,264,3,11842.18,At Risk
69,268,2,9259.369999999999,At Risk
70,256,2,18709.46,At Risk
71,245,2,2012.73,New
72,252,2,14837.48,At Risk
73,256,2,34390.22,At Risk
74,243,2,4459.82,Loyal
75,265,2,37499.92,At Risk
76,257,2,8208.77,At Risk
77,253,3,9139.48,At Risk
78,261,2,3709.65,New
79,258,2,17641.08,At Risk
80,251,2,10715.19,At Risk
